row_id,measure,effectiveness,reason,reason_clean,sum_reason
114,guard_dog,moderately,They alert the guard,alert  guard,Behavioral
131,guard_dog,moderately,They just alert the guard,alert  guard,Behavioral
139,guard_dog,moderately,They alert the guard,alert  guard,Behavioral
142,guard_dog,moderately,They alert the guard,alert  guard,Behavioral
145,guard_dog,moderately,They alert the guard,alert  guard,Behavioral
148,guard_dog,moderately,They alert live guard,alert  guard,Behavioral
166,guard_dog,not,They just alert the guard but giraffe are not afraid,alert  guard,Behavioral
18,guard_dog,not,Giraffe is not afraid of dogs,not scared,Psychological
92,guard_dog,not,Dogs are even afraid of giraffe but their barking alerts the guard,not scared,Psychological
93,guard_dog,not,Dogs are afraid,not scared,Psychological
95,guard_dog,not,Dogs are afraid of giraffe,not scared,Psychological
147,guard_dog,not,Unless there is someone to chase them dogs are useless against giraffe,not scared,Psychological
149,guard_dog,not,Giraffe are not afraid,not scared,Psychological
151,guard_dog,not,Dogs are small giraffe are not scared at all,not scared,Psychological
101,guard_dog,moderately,Female and young,scare,Psychological
165,guard_dog,moderately,By spending more money buying it,unsure,Unsure
72,pitfall,Highly,They scare away the girraffes,scare,Psychological
165,pitfall,moderately,Because I can get effective by the coldness,unsure,Unsure
101,propellas,moderately,They alert the guard when he is asleep,alert  guard,Behavioral
86,propellas,extremely,This only works if you are around doing it other wise when using wind they still come,chase away,Behavioral
85,propellas,not,They are used to it,got used to,Behavioral
103,propellas,not,They are used to this method,got used to,Behavioral
122,propellas,moderately,They are used it,got used to,Behavioral
123,propellas,not,They are used to it,got used to,Behavioral
126,propellas,not,They don't care anymore,got used to,Behavioral
131,propellas,moderately,They are used to it,got used to,Behavioral
133,propellas,not,They are used to this,got used to,Behavioral
136,propellas,moderately,They  get used to it,got used to,Behavioral
152,propellas,not,They are used to it,got used to,Behavioral
154,propellas,not,They got used to it,got used to,Behavioral
160,propellas,not,They are used to it,got used to,Behavioral
125,propellas,moderately,They think someone is in the farm,human limitations,Behavioral
7,propellas,moderately,It think they are human,human presence,Psychological
12,propellas,moderately,Indicate pre5of human,human presence,Psychological
13,propellas,moderately,Simulate human presence,human presence,Psychological
14,propellas,Highly,Simulate presence of human,human presence,Psychological
15,propellas,Highly,They make noise simulating human presence,human presence,Psychological
16,propellas,moderately,In addition to human this can help,human presence,Psychological
62,propellas,moderately,They think someone is in the farm,human presence,Psychological
63,propellas,moderately,Indicate  human presence,human presence,Psychological
64,propellas,moderately,Indicate human presence,human presence,Psychological
77,propellas,moderately,Indicate human presence,human presence,Psychological
78,propellas,moderately,They make noise indicating human presence,human presence,Psychological
79,propellas,moderately,They think there is someone at the farm,human presence,Psychological
82,propellas,moderately,Indicate human presence,human presence,Psychological
83,propellas,Highly,The noise made by stones in a bottle indicate human presence,human presence,Psychological
89,propellas,extremely,They indicate human presence,human presence,Psychological
94,propellas,Highly,They make noise to show someone is around,human presence,Psychological
98,propellas,moderately,They indicate human presence,human presence,Psychological
99,propellas,moderately,They make noise making them think someone is on the farm,human presence,Psychological
104,propellas,moderately,It show human presence,human presence,Psychological
105,propellas,moderately,They produce sound when wind blows making the think there are human,human presence,Psychological
108,propellas,moderately,It shows people are around but adult males still come,human presence,Psychological
109,propellas,moderately,When we chase giraffes we knock iron sheet to produce noice spaying them makes them think so,human presence,Psychological
110,propellas,moderately,Indicate humans presence,human presence,Psychological
111,propellas,moderately,They think there is someone on the farm,human presence,Psychological
112,propellas,moderately,Indicate human presence,human presence,Psychological
130,propellas,moderately,They think there is someone on the farm,human presence,Psychological
148,propellas,moderately,Indicate human  presence,human presence,Psychological
151,propellas,Highly,Indicate human presence,human presence,Psychological
163,propellas,moderately,Simulate human presence,human presence,Psychological
102,propellas,Highly,Make noise but after sometime they get used to it and pass reg,noisy,no reason
166,propellas,not,the even pass close to fire,not scared,Psychological
95,propellas,moderately,They go but come back,return,Behavioral
